source,target,Fisher_Z
Frontal_Sup_Orb_L,Frontal_Mid_Orb_L,0.6596
Calcarine_R,Lingual_R,0.6595
Cingulum_Post_L,Thalamus_L,0.6587
Cingulum_Post_L,Paracentral_Lobule_L,0.6586
Frontal_Sup_Orb_R,Frontal_Med_Orb_R,0.6584
Precentral_L,Parietal_Sup_L,0.6584
Frontal_Mid_R,Cingulum_Post_R,0.6583
Cingulum_Mid_R,Caudate_L,0.658
Frontal_Mid_R,Paracentral_Lobule_L,0.6575
Cingulum_Mid_R,Caudate_R,0.6572
Frontal_Mid_L,Paracentral_Lobule_L,0.6563
Cingulum_Post_R,Parietal_Sup_L,0.6556
Frontal_Sup_L,Frontal_Inf_Tri_L,0.6555
Cingulum_Ant_L,Caudate_L,0.6553
Angular_R,Precuneus_R,0.655
Frontal_Sup_R,Frontal_Inf_Oper_R,0.654
Frontal_Inf_Oper_R,Cingulum_Mid_R,0.6531
Cingulum_Mid_R,Thalamus_L,0.651
Cingulum_Mid_R,Parietal_Inf_R,0.6508
Frontal_Inf_Oper_L,Frontal_Sup_Medial_L,0.6504
Rolandic_Oper_R,Insula_L,0.6504
Frontal_Mid_R,Frontal_Inf_Oper_L,0.6465
Frontal_Sup_L,Cingulum_Post_R,0.6455
Angular_L,Precuneus_R,0.6451
Cingulum_Post_R,Parietal_Inf_L,0.645
Frontal_Sup_Medial_R,Caudate_L,0.645
Cingulum_Post_R,Postcentral_R,0.6447
Precentral_L,Frontal_Inf_Tri_R,0.644
Frontal_Inf_Oper_R,Cingulum_Mid_L,0.6437
Hippocampus_R,ParaHippocampal_R,0.6434
Lingual_L,Lingual_R,0.6414
Cingulum_Mid_L,Thalamus_L,0.6402
Putamen_R,Pallidum_R,0.6401
Rolandic_Oper_L,Insula_R,0.6394
Parietal_Sup_R,SupraMarginal_R,0.6389
Insula_L,Cingulum_Ant_L,0.6363
Cingulum_Mid_L,Caudate_L,0.6359
Cingulum_Post_R,Postcentral_L,0.6357
Caudate_R,Thalamus_L,0.6349
Cingulum_Post_L,Thalamus_R,0.6342
Parietal_Inf_R,Paracentral_Lobule_R,0.6339
Parietal_Sup_L,SupraMarginal_R,0.6339
Frontal_Mid_R,SupraMarginal_R,0.6334
Cingulum_Mid_L,Caudate_R,0.6333
Parietal_Sup_R,Angular_R,0.6323
Supp_Motor_Area_L,Parietal_Sup_L,0.6321
Frontal_Sup_Medial_R,Precuneus_L,0.632
Frontal_Sup_Medial_L,Cingulum_Post_L,0.6317
Frontal_Inf_Tri_R,Insula_R,0.6316
Insula_R,Caudate_R,0.6311
Angular_R,Precuneus_L,0.6308
Cingulum_Mid_R,Thalamus_R,0.6303
Frontal_Inf_Oper_R,Supp_Motor_Area_R,0.6302
Frontal_Mid_R,Parietal_Inf_R,0.6297
Cingulum_Post_L,Parietal_Sup_R,0.6296
Rolandic_Oper_R,Cingulum_Ant_R,0.6288
Frontal_Sup_L,Frontal_Inf_Oper_R,0.627
Precentral_R,Frontal_Inf_Oper_L,0.6265
Frontal_Inf_Tri_L,Frontal_Sup_Medial_R,0.6265
Frontal_Inf_Tri_R,Postcentral_R,0.6259
Rolandic_Oper_L,SupraMarginal_L,0.6246
Cingulum_Post_R,Thalamus_L,0.6244
Frontal_Inf_Oper_L,Caudate_R,0.6225
Precentral_L,Cingulum_Post_R,0.6223
Frontal_Inf_Oper_R,Supp_Motor_Area_L,0.6222
Insula_L,Caudate_R,0.6221
Cingulum_Post_R,Paracentral_Lobule_R,0.6217
Putamen_R,Pallidum_L,0.6211
Frontal_Sup_Medial_R,Insula_R,0.6209
Cingulum_Ant_R,Caudate_L,0.6183
Insula_L,Temporal_Sup_L,0.6183
Caudate_R,Putamen_L,0.6173
Parietal_Sup_L,Angular_L,0.6164
Frontal_Sup_Medial_L,Cingulum_Post_R,0.6152
Frontal_Inf_Orb_L,Insula_L,0.6145
Frontal_Sup_R,Caudate_R,0.6135
Frontal_Sup_Medial_R,Paracentral_Lobule_R,0.6135
Parietal_Sup_R,Paracentral_Lobule_L,0.613
Frontal_Sup_Medial_R,Cingulum_Post_L,0.6123
Angular_L,Precuneus_L,0.6118
Frontal_Sup_L,Frontal_Inf_Oper_L,0.6112
Frontal_Mid_L,Paracentral_Lobule_R,0.6111
Frontal_Sup_Medial_R,Paracentral_Lobule_L,0.6106
Frontal_Mid_R,Parietal_Sup_R,0.6106
Frontal_Inf_Oper_L,Rolandic_Oper_L,0.6094
Frontal_Inf_Oper_R,Precuneus_R,0.6093
Frontal_Sup_Medial_L,Parietal_Inf_L,0.6092
Rolandic_Oper_L,Postcentral_L,0.6076
Frontal_Inf_Tri_R,Postcentral_L,0.6075
Lingual_L,Vermis_4_5,0.6075
Calcarine_L,Cuneus_L,0.607
Cingulum_Ant_L,Putamen_R,0.6066
Frontal_Sup_R,Frontal_Inf_Tri_R,0.6065
Frontal_Sup_L,Cingulum_Ant_L,0.6062
Rolandic_Oper_L,Putamen_R,0.606
Frontal_Sup_L,Parietal_Sup_L,0.6052
Frontal_Inf_Oper_L,Caudate_L,0.6047
Frontal_Inf_Tri_L,Insula_R,0.6045
Frontal_Sup_Medial_L,Insula_R,0.6044
SupraMarginal_L,Temporal_Sup_L,0.604
Occipital_Sup_L,Occipital_Sup_R,0.6032
SupraMarginal_R,Temporal_Sup_R,0.6031
Frontal_Inf_Orb_R,Insula_R,0.6028
SupraMarginal_R,Angular_R,0.6026
Frontal_Sup_Medial_L,Insula_L,0.6024
Frontal_Mid_R,Caudate_R,0.6023
Postcentral_L,Caudate_L,0.6022
Cingulum_Mid_R,SupraMarginal_R,0.6019
Frontal_Inf_Tri_L,Caudate_L,0.6013
Cingulum_Post_L,Caudate_R,0.601
Frontal_Mid_L,Cingulum_Post_R,0.6009
Cingulum_Post_L,Parietal_Inf_R,0.5992
Frontal_Mid_L,Parietal_Sup_L,0.5992
Hippocampus_R,Thalamus_R,0.5989
Temporal_Sup_R,Temporal_Mid_R,0.598
Cingulum_Ant_R,Caudate_R,0.5979
Lingual_L,Cerebelum_4_5_L,0.5979
Cingulum_Ant_L,Putamen_L,0.5976
Caudate_L,Thalamus_L,0.5973
Parietal_Inf_R,Paracentral_Lobule_L,0.5968
Frontal_Sup_Medial_R,Cingulum_Post_R,0.5968
Hippocampus_L,Hippocampus_R,0.5956
Insula_L,Cingulum_Ant_R,0.5956
Cingulum_Mid_L,Thalamus_R,0.5948
Frontal_Mid_L,Caudate_L,0.5943
Precentral_L,SupraMarginal_R,0.5925
Rolandic_Oper_L,Rolandic_Oper_R,0.5924
Occipital_Sup_R,Angular_R,0.5922
Frontal_Sup_L,Cingulum_Ant_R,0.5919
Precentral_L,Caudate_R,0.5918
Cingulum_Mid_L,SupraMarginal_R,0.5902
Frontal_Inf_Oper_R,SupraMarginal_R,0.5897
Frontal_Sup_L,Frontal_Inf_Tri_R,0.5896
Frontal_Inf_Oper_L,SupraMarginal_L,0.5892
Frontal_Inf_Tri_R,Caudate_L,0.5889
Frontal_Sup_L,Caudate_R,0.5888
Frontal_Inf_Oper_L,Insula_R,0.5882
Precentral_L,Parietal_Inf_R,0.5882
Insula_L,Postcentral_L,0.5878
Parietal_Sup_L,Angular_R,0.5872
Frontal_Inf_Oper_R,Cingulum_Post_L,0.587
Frontal_Inf_Oper_R,Precuneus_L,0.5867
Frontal_Inf_Oper_R,Insula_L,0.5845
Cingulum_Post_L,SupraMarginal_R,0.5838
Frontal_Sup_L,Insula_L,0.5833
Cuneus_R,Occipital_Sup_L,0.5833
Rolandic_Oper_R,SupraMarginal_R,0.5832
Caudate_R,Thalamus_R,0.5829
Precuneus_R,Thalamus_L,0.5821
Frontal_Sup_R,Cingulum_Ant_L,0.5821
Frontal_Sup_R,Parietal_Sup_R,0.582
Cingulum_Post_R,Paracentral_Lobule_L,0.5818
Temporal_Sup_L,Temporal_Mid_L,0.5817
Frontal_Sup_R,Parietal_Inf_R,0.5814
Cingulum_Ant_R,Cingulum_Mid_R,0.581
Frontal_Sup_Medial_L,Caudate_R,0.5808
Precentral_L,SupraMarginal_L,0.5803
Cuneus_L,Precuneus_R,0.5789
Frontal_Sup_L,Caudate_L,0.5783
SupraMarginal_R,Paracentral_Lobule_R,0.5781
Supp_Motor_Area_R,Parietal_Sup_R,0.5777
Precentral_L,Caudate_L,0.5775
Precentral_R,Frontal_Inf_Tri_L,0.5774
Supp_Motor_Area_R,Thalamus_L,0.5771
Frontal_Inf_Oper_R,Cingulum_Ant_L,0.5763
Supp_Motor_Area_R,Parietal_Inf_R,0.5753
Supp_Motor_Area_R,SupraMarginal_R,0.5752
Postcentral_R,SupraMarginal_L,0.5739
Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,0.5733
SupraMarginal_R,Paracentral_Lobule_L,0.5728
Frontal_Inf_Tri_L,Caudate_R,0.5727
Supp_Motor_Area_L,Thalamus_L,0.572
Precuneus_R,Thalamus_R,0.572
Frontal_Sup_R,SupraMarginal_R,0.5718
Rolandic_Oper_R,Putamen_L,0.5713
Supp_Motor_Area_L,Parietal_Inf_R,0.5707
Rolandic_Oper_R,Cingulum_Ant_L,0.5689
Frontal_Inf_Oper_R,Cingulum_Ant_R,0.5687
Frontal_Inf_Oper_L,Postcentral_R,0.5682
Frontal_Sup_Medial_R,Parietal_Inf_L,0.5665
Frontal_Inf_Oper_L,Cingulum_Mid_L,0.5663
Precentral_L,Parietal_Sup_R,0.5661
Occipital_Mid_L,Angular_L,0.5657
SupraMarginal_L,Angular_L,0.5653
Cingulum_Ant_L,Caudate_R,0.5649
Cuneus_R,Precuneus_R,0.5649
Frontal_Inf_Tri_R,Cingulum_Mid_R,0.5639
Supp_Motor_Area_R,Caudate_R,0.5639
Frontal_Inf_Oper_R,Rolandic_Oper_R,0.5638
Frontal_Sup_R,Caudate_L,0.5636
Rolandic_Oper_R,Caudate_L,0.563
Hippocampus_R,Thalamus_L,0.5623
Frontal_Inf_Oper_L,Supp_Motor_Area_L,0.5621
Frontal_Mid_L,Caudate_R,0.5617
Frontal_Inf_Oper_L,Parietal_Inf_L,0.5613
